"Date","Time","Open","High","Low","Close","Up","Down","CV","ZeroLine","Zero Cross","UpperBand","LowerBand","MidLine","VolROC","ZeroLine"
02/22/2021,19:37,233.44,233.54,233.41,233.51,16233,13940,-18.31,0.00,0.00,233.52,232.73,233.13,-15.77,0.00
02/22/2021,19:38,233.51,233.64,233.51,233.55,15303,20100,-20.44,0.00,0.00,233.55,232.80,233.17,-25.70,0.00
02/22/2021,19:39,233.54,233.56,233.41,233.44,18117,18094,-21.89,0.00,0.00,233.57,232.82,233.20,-36.00,0.00
02/22/2021,19:40,233.44,233.45,233.31,233.31,20161,16941,-25.21,0.00,0.00,233.58,232.85,233.21,-25.16,0.00
02/22/2021,19:41,233.29,233.56,233.28,233.55,18754,19801,-9.51,0.00,0.00,233.62,232.86,233.24,47.42,0.00
02/22/2021,19:42,233.56,233.66,233.55,233.60,23930,18443,-5.73,0.00,0.00,233.67,232.87,233.27,9.07,0.00
02/22/2021,19:43,233.59,233.60,233.48,233.55,18184,22747,-2.91,0.00,0.00,233.70,232.88,233.29,-15.58,0.00
02/22/2021,19:44,233.52,233.58,233.46,233.52,15730,17427,-6.81,0.00,0.00,233.72,232.89,233.31,6.35,0.00
02/22/2021,19:45,233.53,233.70,233.46,233.70,19193,11570,-10.61,0.00,0.00,233.75,232.94,233.35,51.56,0.00
02/22/2021,19:46,233.70,233.85,233.70,233.85,20171,20578,-13.34,0.00,0.00,233.83,232.94,233.39,84.33,0.00
02/22/2021,19:47,233.85,233.87,233.81,233.87,13695,12309,-18.65,0.00,0.00,233.88,232.98,233.43,-8.80,0.00
02/22/2021,19:48,233.86,233.98,233.83,233.98,25770,16462,-13.95,0.00,0.00,233.97,232.97,233.47,68.75,0.00
02/22/2021,19:49,233.97,234.13,233.95,234.08,29863,28900,-8.41,0.00,0.00,234.05,232.99,233.52,7.29,0.00
02/22/2021,19:50,234.09,234.11,233.94,233.96,45883,17783,-3.73,0.00,0.00,234.10,233.02,233.56,15.09,0.00
02/22/2021,19:51,233.96,234.17,233.93,234.17,21107,15145,-6.66,0.00,0.00,234.19,233.02,233.60,20.15,0.00
02/22/2021,19:52,234.18,234.40,234.15,234.32,25226,32516,9.07,0.00,0.00,234.29,233.04,233.66,63.10,0.00
02/22/2021,19:53,234.32,234.44,234.26,234.43,26675,23952,14.61,0.00,0.00,234.39,233.07,233.73,39.81,0.00
02/22/2021,19:54,234.44,234.57,234.33,234.33,36207,38532,26.74,0.00,0.00,234.45,233.12,233.78,101.44,0.00
02/22/2021,19:55,234.34,234.46,234.33,234.37,14153,18944,8.04,0.00,0.00,234.53,233.13,233.83,-14.16,0.00
02/22/2021,19:56,234.36,234.36,234.20,234.20,12685,17118,7.81,0.00,0.00,234.56,233.17,233.86,-29.67,0.00
02/22/2021,19:57,234.20,234.30,234.19,234.28,11778,7586,13.43,0.00,0.00,234.60,233.21,233.90,-52.69,0.00
02/22/2021,19:58,234.27,234.27,234.20,234.25,8727,9484,1.06,0.00,0.00,234.63,233.25,233.94,-45.08,0.00
02/22/2021,19:59,234.25,234.29,234.11,234.23,17089,24127,0.84,0.00,0.00,234.64,233.31,233.98,33.98,0.00
02/22/2021,20:00,234.22,234.28,234.17,234.18,12938,11742,-6.31,0.00,0.00,234.61,233.43,234.02,-39.43,0.00
02/22/2021,20:01,234.19,234.21,234.10,234.19,14956,10184,-18.49,0.00,0.00,234.61,233.50,234.05,-3.32,0.00
